frame,id,x1,y1,x2,y2
12,6,1115,347,1170,440
12,7,855,86,881,129
12,8,1035,127,1058,182
12,9,513,156,549,217
12,10,841,196,876,269
12,11,1247,261,1279,345
12,12,753,225,794,297
12,13,569,410,628,517
12,14,704,96,729,149
12,15,720,51,740,95
12,16,518,436,569,499
12,18,482,488,512,503
12,19,782,224,817,297
13,1,896,445,946,536
13,2,588,160,626,227
13,3,976,185,1008,251
13,4,488,411,548,477
13,5,262,265,305,345
13,6,1117,349,1190,441
13,7,868,86,892,129
13,8,1048,127,1072,181
13,9,526,157,561,217
13,10,847,196,888,268
13,11,1260,259,1280,332
13,13,573,411,632,518
13,14,715,97,742,148
13,15,732,52,754,94
13,16,505,433,573,508
13,18,482,488,512,503
13,19,795,225,826,298
14,1,897,443,959,535
14,2,600,161,638,228
14,3,982,186,1020,251
14,4,496,413,557,484
14,5,269,266,307,345
14,6,1125,353,1187,442
14,7,880,87,902,129
14,8,1059,127,1086,183
14,9,538,157,571,218
14,10,854,197,898,269
14,11,1269,253,1280,337
14,12,808,225,835,298
14,13,586,409,633,509
14,14,725,99,755,150
14,15,744,53,768,95
14,16,505,433,573,508
14,18,482,488,512,503
14,19,808,225,835,298
15,1,901,448,938,526
15,2,612,162,650,228
15,3,988,187,1032,252
15,4,506,416,534,490
15,5,277,265,307,345
15,6,919,444,968,533
15,7,893,87,911,131
15,8,1069,128,1100,183
15,9,553,158,581,219
15,10,865,198,908,270
15,11,1140,353,1179,445
15,12,901,441,968,532
15,13,591,409,631,503
15,14,734,99,766,151
15,15,756,53,780,96
15,16,519,417,581,515
15,18,515,440,579,515
15,19,819,225,844,298
15,20,506,416,553,491
15,21,523,415,570,473
15,22,901,463,934,526
16,1,905,439,947,507
16,2,624,162,660,229
16,3,999,189,1042,252
16,4,520,415,572,508
16,5,284,263,316,347
16,6,1148,354,1194,446
16,7,904,87,921,130
16,8,1077,129,1113,183
16,9,566,158,588,219
16,10,877,200,915,271
16,11,1140,353,1179,445
16,12,901,441,968,532
16,13,596,408,628,507
16,14,748,100,776,151
16,15,767,54,789,96
16,16,519,417,581,515
16,18,515,440,579,515
16,19,830,225,853,299
16,20,509,445,557,495
16,21,523,415,570,473
16,22,907,480,929,526
17,1,909,438,948,526
17,2,637,163,669,229
17,3,1013,192,1050,253
17,4,545,416,584,487
17,5,291,264,328,348
17,6,1151,353,1189,446
17,7,915,87,933,132
17,8,1085,132,1126,186
17,9,578,158,595,219
17,10,886,202,920,272
17,11,1140,353,1179,445
17,12,910,438,968,526
17,13,599,408,632,502
17,14,759,100,785,152
17,15,778,54,800,96
17,16,511,449,572,510
17,18,515,440,579,515
17,19,841,226,865,300
17,20,509,445,557,495
17,21,523,415,570,473
17,22,910,479,932,526
18,1,914,438,952,528
18,2,647,162,676,230
18,3,1022,192,1056,254
18,4,540,417,585,489
18,5,292,264,336,349
18,6,1153,353,1194,449
18,7,926,87,945,133
18,8,1096,135,1138,188
18,9,588,159,605,221
18,10,894,202,923,271
18,12,913,438,975,527
18,13,602,408,636,503
18,14,771,101,794,153
18,15,789,55,812,96
18,16,520,448,579,512
18,19,849,226,875,302
18,20,509,445,557,495
18,22,915,444,943,528
19,1,914,438,952,528
19,2,660,163,685,231
19,3,1028,192,1061,254
19,4,545,417,596,493
19,5,294,266,345,349
19,6,1156,352,1204,449
19,7,934,88,958,135
19,8,1109,137,1149,189
19,9,598,159,616,222
19,10,901,202,927,272
19,11,855,227,887,303
19,12,916,439,972,527
19,13,605,434,636,502
19,14,783,101,804,154
19,15,798,56,819,96
19,16,512,451,543,519
19,19,855,227,887,303
19,21,607,408,639,503
19,22,915,444,943,528
20,1,914,438,952,528
20,2,670,163,691,232
20,3,1038,191,1066,256
20,4,550,417,604,491
20,5,303,268,350,350
20,6,1150,353,1213,448
20,7,943,91,968,136
20,8,1121,139,1160,191
20,9,606,160,627,222
20,10,910,202,937,275
20,11,855,227,887,303
20,12,917,438,964,527
20,13,611,408,641,503
20,14,795,101,813,154
20,15,809,55,828,99
20,16,504,455,549,525
20,19,864,228,899,304
20,21,607,408,639,503
20,22,915,444,943,528
21,2,680,163,702,232
21,3,1051,191,1075,256
21,4,555,416,604,492
21,5,314,269,352,351
21,6,1145,354,1216,447
21,7,954,91,977,136
21,8,1133,140,1168,192
21,9,610,161,639,223
21,10,917,202,946,276
21,11,917,202,945,275
21,12,918,438,973,528
21,13,614,407,651,510
21,14,804,101,823,156
21,15,818,55,836,99
21,16,502,456,562,521
21,19,873,230,909,305
21,21,614,406,651,508
21,22,873,230,909,306
22,2,688,163,711,233
22,3,1057,192,1084,259
22,4,563,415,605,490
22,5,323,270,351,350
22,6,1146,355,1215,448
22,7,964,92,983,138
22,8,1146,140,1177,192
22,9,616,162,649,224
22,10,923,203,954,276
22,11,922,204,955,276
22,12,917,435,979,529
22,13,617,405,664,511
22,14,813,102,832,156
22,15,827,55,846,99
22,16,507,457,566,523
22,19,882,232,919,305
22,21,614,406,651,508
22,22,883,231,919,306
23,2,694,163,719,233
23,3,1060,193,1091,258
23,4,565,412,610,488
23,5,325,269,352,350
23,6,1147,358,1215,449
23,7,971,92,988,138
23,8,1155,139,1183,194
23,9,623,162,657,224
23,10,927,204,958,277
23,11,927,204,959,277
23,12,912,433,977,524
23,13,620,405,666,509
23,14,817,101,839,157
23,15,832,55,851,99
23,16,513,459,553,522
